Step 00000 | Validation bpb: 3.211895
step 00000/09841 (0.00%) | loss: 10.812500 | lrm: 0.03 | dt: 29884.55ms | tok/sec: 17,543 | bf16_mfu: 0.80 | epoch: 1 pq: 0 rg: 8 | total time: 0.00m
step 00052/09841 (0.53%) | loss: 5.731412 | lrm: 1.00 | dt: 442.22ms | tok/sec: 1,185,576 | bf16_mfu: 54.18 | epoch: 1 pq: 0 rg: 56 | total time: 0.31m | eta: 72.4m
step 00053/09841 (0.54%) | loss: 5.705057 | lrm: 1.00 | dt: 443.95ms | tok/sec: 1,180,949 | bf16_mfu: 53.97 | epoch: 1 pq: 0 rg: 56 | total time: 0.32m | eta: 72.4m
step 00054/09841 (0.55%) | loss: 5.681354 | lrm: 1.00 | dt: 444.49ms | tok/sec: 1,179,534 | bf16_mfu: 53.91 | epoch: 1 pq: 0 rg: 56 | total time: 0.33m | eta: 72.4m
step 00055/09841 (0.56%) | loss: 5.641234 | lrm: 1.00 | dt: 443.15ms | tok/sec: 1,183,102 | bf16_mfu: 54.07 | epoch: 1 pq: 0 rg: 64 | total time: 0.33m | eta: 72.4m
step 00056/09841 (0.57%) | loss: 5.630208 | lrm: 1.00 | dt: 445.59ms | tok/sec: 1,176,627 | bf16_mfu: 53.78 | epoch: 1 pq: 0 rg: 64 | total time: 0.34m | eta: 72.4m
step 00057/09841 (0.58%) | loss: 5.607763 | lrm: 1.00 | dt: 444.92ms | tok/sec: 1,178,400 | bf16_mfu: 53.86 | epoch: 1 pq: 0 rg: 64 | total time: 0.35m | eta: 72.4m
step 00058/09841 (0.59%) | loss: 5.587571 | lrm: 1.00 | dt: 443.59ms | tok/sec: 1,181,928 | bf16_mfu: 54.02 | epoch: 1 pq: 0 rg: 64 | total time: 0.35m | eta: 72.3m
step 00059/09841 (0.60%) | loss: 5.563145 | lrm: 1.00 | dt: 444.50ms | tok/sec: 1,179,491 | bf16_mfu: 53.91 | epoch: 1 pq: 0 rg: 64 | total time: 0.36m | eta: 72.3m
step 00060/09841 (0.61%) | loss: 5.525520 | lrm: 1.00 | dt: 445.53ms | tok/sec: 1,176,770 | bf16_mfu: 53.78 | epoch: 1 pq: 0 rg: 64 | total time: 0.37m | eta: 72.3m
step 00061/09841 (0.62%) | loss: 5.491669 | lrm: 1.00 | dt: 444.90ms | tok/sec: 1,178,447 | bf16_mfu: 53.86 | epoch: 1 pq: 0 rg: 64 | total time: 0.38m | eta: 72.3m
step 00062/09841 (0.63%) | loss: 5.470599 | lrm: 1.00 | dt: 442.87ms | tok/sec: 1,183,836 | bf16_mfu: 54.10 | epoch: 1 pq: 0 rg: 64 | total time: 0.38m | eta: 72.3m
step 00063/09841 (0.64%) | loss: 5.445384 | lrm: 1.00 | dt: 444.27ms | tok/sec: 1,180,106 | bf16_mfu: 53.93 | epoch: 1 pq: 0 rg: 72 | total time: 0.39m | eta: 72.3m
step 00064/09841 (0.65%) | loss: 5.425825 | lrm: 1.00 | dt: 443.80ms | tok/sec: 1,181,361 | bf16_mfu: 53.99 | epoch: 1 pq: 0 rg: 72 | total time: 0.40m | eta: 72.3m
step 00065/09841 (0.66%) | loss: 5.411354 | lrm: 1.00 | dt: 446.87ms | tok/sec: 1,173,236 | bf16_mfu: 53.62 | epoch: 1 pq: 0 rg: 72 | total time: 0.41m | eta: 72.3m
step 00066/09841 (0.67%) | loss: 5.385822 | lrm: 1.00 | dt: 444.81ms | tok/sec: 1,178,681 | bf16_mfu: 53.87 | epoch: 1 pq: 0 rg: 72 | total time: 0.41m | eta: 72.3m
step 00067/09841 (0.68%) | loss: 5.359719 | lrm: 1.00 | dt: 442.13ms | tok/sec: 1,185,816 | bf16_mfu: 54.20 | epoch: 1 pq: 0 rg: 72 | total time: 0.42m | eta: 72.3m
step 00068/09841 (0.69%) | loss: 5.339358 | lrm: 1.00 | dt: 446.22ms | tok/sec: 1,174,966 | bf16_mfu: 53.70 | epoch: 1 pq: 0 rg: 72 | total time: 0.43m | eta: 72.3m
step 00069/09841 (0.70%) | loss: 5.317909 | lrm: 1.00 | dt: 443.70ms | tok/sec: 1,181,620 | bf16_mfu: 54.00 | epoch: 1 pq: 0 rg: 72 | total time: 0.44m | eta: 72.3m
step 00070/09841 (0.71%) | loss: 5.286100 | lrm: 1.00 | dt: 445.66ms | tok/sec: 1,176,427 | bf16_mfu: 53.77 | epoch: 1 pq: 0 rg: 80 | total time: 0.44m | eta: 72.3m
step 00071/09841 (0.72%) | loss: 5.269982 | lrm: 1.00 | dt: 444.23ms | tok/sec: 1,180,206 | bf16_mfu: 53.94 | epoch: 1 pq: 0 rg: 80 | total time: 0.45m | eta: 72.3m
step 00072/09841 (0.73%) | loss: 5.239845 | lrm: 1.00 | dt: 444.03ms | tok/sec: 1,180,746 | bf16_mfu: 53.96 | epoch: 1 pq: 0 rg: 80 | total time: 0.46m | eta: 72.3m
step 00073/09841 (0.74%) | loss: 5.225229 | lrm: 1.00 | dt: 445.13ms | tok/sec: 1,177,824 | bf16_mfu: 53.83 | epoch: 1 pq: 0 rg: 80 | total time: 0.47m | eta: 72.3m
step 00074/09841 (0.75%) | loss: 5.202698 | lrm: 1.00 | dt: 446.57ms | tok/sec: 1,174,044 | bf16_mfu: 53.66 | epoch: 1 pq: 0 rg: 80 | total time: 0.47m | eta: 72.3m
step 00075/09841 (0.76%) | loss: 5.182422 | lrm: 1.00 | dt: 442.84ms | tok/sec: 1,183,914 | bf16_mfu: 54.11 | epoch: 1 pq: 0 rg: 80 | total time: 0.48m | eta: 72.3m
step 00076/09841 (0.77%) | loss: 5.164174 | lrm: 1.00 | dt: 443.15ms | tok/sec: 1,183,099 | bf16_mfu: 54.07 | epoch: 1 pq: 0 rg: 80 | total time: 0.49m | eta: 72.2m
step 00077/09841 (0.78%) | loss: 5.154004 | lrm: 1.00 | dt: 444.87ms | tok/sec: 1,178,510 | bf16_mfu: 53.86 | epoch: 1 pq: 0 rg: 80 | total time: 0.50m | eta: 72.2m
step 00078/09841 (0.79%) | loss: 5.132348 | lrm: 1.00 | dt: 446.88ms | tok/sec: 1,173,231 | bf16_mfu: 53.62 | epoch: 1 pq: 1 rg: 0 | total time: 0.50m | eta: 72.2m
step 00079/09841 (0.80%) | loss: 5.109733 | lrm: 1.00 | dt: 442.99ms | tok/sec: 1,183,516 | bf16_mfu: 54.09 | epoch: 1 pq: 1 rg: 0 | total time: 0.51m | eta: 72.2m
step 00080/09841 (0.81%) | loss: 5.101884 | lrm: 1.00 | dt: 443.50ms | tok/sec: 1,182,149 | bf16_mfu: 54.03 | epoch: 1 pq: 1 rg: 0 | total time: 0.52m | eta: 72.2m
step 00081/09841 (0.82%) | loss: 5.085442 | lrm: 1.00 | dt: 448.66ms | tok/sec: 1,168,573 | bf16_mfu: 53.41 | epoch: 1 pq: 1 rg: 0 | total time: 0.53m | eta: 72.2m
step 00082/09841 (0.83%) | loss: 5.058144 | lrm: 1.00 | dt: 444.63ms | tok/sec: 1,179,154 | bf16_mfu: 53.89 | epoch: 1 pq: 1 rg: 0 | total time: 0.53m | eta: 72.2m
step 00083/09841 (0.84%) | loss: 5.042952 | lrm: 1.00 | dt: 444.90ms | tok/sec: 1,178,429 | bf16_mfu: 53.86 | epoch: 1 pq: 1 rg: 0 | total time: 0.54m | eta: 72.2m
step 00084/09841 (0.85%) | loss: 5.026155 | lrm: 1.00 | dt: 444.71ms | tok/sec: 1,178,944 | bf16_mfu: 53.88 | epoch: 1 pq: 1 rg: 0 | total time: 0.55m | eta: 72.2m
step 00085/09841 (0.86%) | loss: 5.011038 | lrm: 1.00 | dt: 442.14ms | tok/sec: 1,185,789 | bf16_mfu: 54.19 | epoch: 1 pq: 1 rg: 8 | total time: 0.56m | eta: 72.2m
step 00086/09841 (0.87%) | loss: 4.994307 | lrm: 1.00 | dt: 446.19ms | tok/sec: 1,175,039 | bf16_mfu: 53.70 | epoch: 1 pq: 1 rg: 8 | total time: 0.56m | eta: 72.2m
step 00087/09841 (0.88%) | loss: 4.972999 | lrm: 1.00 | dt: 444.79ms | tok/sec: 1,178,733 | bf16_mfu: 53.87 | epoch: 1 pq: 1 rg: 8 | total time: 0.57m | eta: 72.2m
step 00088/09841 (0.89%) | loss: 4.950698 | lrm: 1.00 | dt: 443.86ms | tok/sec: 1,181,211 | bf16_mfu: 53.98 | epoch: 1 pq: 1 rg: 8 | total time: 0.58m | eta: 72.2m
step 00089/09841 (0.90%) | loss: 4.924376 | lrm: 1.00 | dt: 442.02ms | tok/sec: 1,186,122 | bf16_mfu: 54.21 | epoch: 1 pq: 1 rg: 8 | total time: 0.58m | eta: 72.2m
step 00090/09841 (0.91%) | loss: 4.910062 | lrm: 1.00 | dt: 446.43ms | tok/sec: 1,174,408 | bf16_mfu: 53.67 | epoch: 1 pq: 1 rg: 8 | total time: 0.59m | eta: 72.2m
step 00091/09841 (0.92%) | loss: 4.884679 | lrm: 1.00 | dt: 446.24ms | tok/sec: 1,174,892 | bf16_mfu: 53.70 | epoch: 1 pq: 1 rg: 8 | total time: 0.60m | eta: 72.2m
step 00092/09841 (0.93%) | loss: 4.877461 | lrm: 1.00 | dt: 445.86ms | tok/sec: 1,175,902 | bf16_mfu: 53.74 | epoch: 1 pq: 1 rg: 16 | total time: 0.61m | eta: 72.2m
step 00093/09841 (0.95%) | loss: 4.864714 | lrm: 1.00 | dt: 444.78ms | tok/sec: 1,178,757 | bf16_mfu: 53.87 | epoch: 1 pq: 1 rg: 16 | total time: 0.61m | eta: 72.2m
step 00094/09841 (0.96%) | loss: 4.843867 | lrm: 1.00 | dt: 442.48ms | tok/sec: 1,184,893 | bf16_mfu: 54.15 | epoch: 1 pq: 1 rg: 16 | total time: 0.62m | eta: 72.1m
step 00095/09841 (0.97%) | loss: 4.837605 | lrm: 1.00 | dt: 446.76ms | tok/sec: 1,173,534 | bf16_mfu: 53.63 | epoch: 1 pq: 1 rg: 16 | total time: 0.63m | eta: 72.1m
step 00096/09841 (0.98%) | loss: 4.825719 | lrm: 1.00 | dt: 444.26ms | tok/sec: 1,180,138 | bf16_mfu: 53.94 | epoch: 1 pq: 1 rg: 16 | total time: 0.64m | eta: 72.1m
step 00097/09841 (0.99%) | loss: 4.815022 | lrm: 1.00 | dt: 444.94ms | tok/sec: 1,178,332 | bf16_mfu: 53.85 | epoch: 1 pq: 1 rg: 16 | total time: 0.64m | eta: 72.1m
step 00098/09841 (1.00%) | loss: 4.796019 | lrm: 1.00 | dt: 446.72ms | tok/sec: 1,173,646 | bf16_mfu: 53.64 | epoch: 1 pq: 1 rg: 16 | total time: 0.65m | eta: 72.1m
step 00099/09841 (1.01%) | loss: 4.782042 | lrm: 1.00 | dt: 441.99ms | tok/sec: 1,186,188 | bf16_mfu: 54.21 | epoch: 1 pq: 1 rg: 16 | total time: 0.66m | eta: 72.1m
step 00100/09841 (1.02%) | loss: 4.769462 | lrm: 1.00 | dt: 450.30ms | tok/sec: 1,164,313 | bf16_mfu: 53.21 | epoch: 1 pq: 1 rg: 24 | total time: 0.67m | eta: 72.1m
step 00101/09841 (1.03%) | loss: 4.748766 | lrm: 1.00 | dt: 444.40ms | tok/sec: 1,179,766 | bf16_mfu: 53.92 | epoch: 1 pq: 1 rg: 24 | total time: 0.67m | eta: 72.1m
step 00102/09841 (1.04%) | loss: 4.742639 | lrm: 1.00 | dt: 443.32ms | tok/sec: 1,182,646 | bf16_mfu: 54.05 | epoch: 1 pq: 1 rg: 24 | total time: 0.68m | eta: 72.1m
